Stock Code
NEST
DOSS
LABS
GUNA
BLES
GOLF
ISEA
PART
SPRE
BATR
SOLA
DATA
ATLA
MHKI
AREA
VISI
BAIK
HYGN
LIVE
MEJA
MKAP
ALII
MPIX
TOSK
UNTD
SMGA
GRPH
ACRO
MANG
MSJA
SMLE
NICE
CGAS
ASLI
SURI
AYAM
IKPM
MSTI
RGAS
UDNG
KOKA
LOPI
STRK
BREN
PTPS
IOTF
KOCI
AEGS
BABY
RSCH
MSIE
HUMI
LMAX
MUTU
CYBR
ERAL
GRIA
PPRI
FOLK
HBAT
CNMA
RMKO
MAHA
INET
CRSN
GRPM
TGUK
WIDI
AMMN
RELF
VKTR
KLAS
MAXI
SMIL
MPXL
DOOH
JATI
RAAM
TYRE
AWAN
MBMA
MENN
NCKL
PIPA
HAJJ
GTRA
NSSS
CUAN
SAGE
TRON
PTMP
BDKR
HILL
FUTR
PGEO
KING
CHIP
HALO
PACK
VAST
IRSX
NAYZ
FWCT
LAJU
PEVE
BMBL
WINE
CBRE
SUNI
BEER
CBPE
ELIT
SOUL
VTNY
ISAP
PADA
MMIX
NINE
KETR
ZATA
KDTN
PDPP
BELI
BSBK
CBUT
MKTR
OMED
PRAY
COAL
CRAB
MEDS
BUAH
KLIN
TOOL
ELPI
EURO
KKES
MORA
RAFI
AMMS
JARR
GULA
RCCC
HATM
KRYA
AXIO
DEWI
ARKO
CHEM
TRGU
SWID
ASHA
OLIV
IBOS
WINR
MTMH
TLDN
GOTO
SICO
WIRG
BIKE
NANO
STAA
SMKM
ADCP
NTBK
ENAK
BAUT
NETV
ASLC
SEMA
ADMR
DRMA
BSML
NASI
IPPE
AVIA
OBMD
RMKE
CMRY
TAYS
WGSH
WMPP
BINO
DEPO
MTEL
BOBA
KUAS
IDEA
CMNT
GTSI
RSGK
RUNS
SBMA
MCOL
GPSO
OILS
HAIS
BUKA
UVCR
NICL
FLMC
BMHS
IPAC
MASB
ARCI
LABA
TRUE
MGLV
HOPE
LUCY
NPGF
TAPG
FIMP
LFLO
ZYRX
SNLK
BEBS
UNIQ
EDGE
WMUU
BANK
UFOE
DGNS
DCII
FAPA
WIFI
PMMP
VICI
ATAP
PTDU
PLAN
ENZO
HOMI
ROCK
PURI
SOHO
BBSI
KMDS
SCNP
PNGO
TRJA
SGER
TOYS
PPGL
PGUN
SOFA
UANG
EPAC
TECH
CASH
BBSS
BHAT
CBMF
CSMI
RONY
KBAG
SBAT
SAMF
AMAN
CARE
BESS
ESTA
ASPI
DADA
AYLS
IKAN
TAMA
PTPW
PURA
DMND
TRIN
AMOR
INDO
AMAR
CSRA
PGJO
GLVA
UCID
PMJS
IFII
REAL
IFSH
AGAR
KEJU
PSGO
TEBE
ESIP
SINI
WOWS
DMMX
IRRA
PURE
SLIS
NZIA
OPMS
GGRP
TFAS
BAPI
KEEN
HDIT
SMKL
ARKA
INOV
EAST
FUJI
KOTA
LIFE
BLUE
ENVY
IPTV
PAMG
ITIC
KAYU
KJEN
POLU
SFAN
CCSI
BOLA
FITT
JAST
POSA
HRME
CPRI
MTPS
COCO
JAYA
CLAY
NATO
BEEF
POLI
FOOD
PEHA
ZONE
SOTS
URBN
LUCK
DIVA
POLA
DEAL
SOSS
SATU
CAKK
YELO
SKRN
DUCK
GOOD
HKMU
MPRO
KPAS
SURE
SAPX
CITY
DIGI
PANI
MOLI
LAND
ANDI
FILM
MGRO
NFCX
NUSA
POLL
BPTR
IPCC
RISE
TCPI
MAPA
TNCA
KPAL
MSIN
SWAT
TUGU
PZZA
TRUK
HEAL
PRIM
SPTO
BRIS
BTPS
NICK
DFAM
GHON
TDPM
INPS
JSKY
HELI
BOSS
LCKM
PCAR
SSMS
LEAD
IMJS
KRAH
APII
SILO
BMAS
BBMD
MLPT
VICO
ECII
SMBR
NRCA
SRTG
ACST
SRIL
DSNG
MPMX
NOBU
ANJT
DYAN
ISSP
TPMA
MAGP
SAME
HOTL
BBRM
WSKT
WIIM
ASSA
BSSR
TAXI
NELY
PALM
NIRO
IBST
BJTM
GAMA
ALTO
GLOB
MSKY
TOBA
KOBX
TRIS
RANC
BEST
ESSA
TELE
PADI
GWSA
BAJA
ERAA
ABMM
CASS
VIVA
GEMS
ARII
SUPR
SMRU
STAR
ALDO
PTIS
SDMU
TIFA
MTLA
SIMP
JAWA
BULL
HDFA
SRAJ
MBSS
GIAA
MBTO
EMDE
MFMI
BSIM
BRMS
MIDI
WINS
APLN
KRAS
TBIG
ICBP
HRUM
BUVA
GREN
IPOL
BJBR
GOLD
SKYB
ROTI
TOWR
BIPI
PTPP
EMTK
GDST
BBTN
NIKL
BCIP
DSSA
BWPT
MKPI
GTBO
BPFI
TRIO
AMRT
TRAM
BYAN
ADRO
HOME
KBRI
PDES
VRNA
INDY
BSDE
TPIA
GZCO
KOIN
BTPN
YPAS
ELSA
TRIL
BAPA
COWL
DGIK
ASRI
ITMG
CSAP
JKON
AGRO
SMMT
JSMR
PTSN
ACES
WIKA
GPRA
BACA
DEWA
LCGP
PKPK
MCOR
MNCN
SGRO
BKDP
WEHA
BISI
SDRA
FREN
CPRO
IATA
PGAS
BBRI
OCAP
BMRI
TMAS
ARTI
PSAB
PTBA
APIC
TRUS
BKSW
ARTA
IIKP
GEMA
SCMA
BABP
APEX
KREN
SUGI
BSWD
UNIT
JTPE
ABBA
FPNI
CITA
FISH
CLPI
CNKO
CENT
LMAS
RODA
PYFA
PANR
AIMS
BTON
META
ARNA
LAPD
AKSI
BEKS
DEFI
KAEF
WAPO
DOID
BCAP
INDX
KOPI
INAF
PLAS
TMPO
DNET
GMTD
RIMO
MYOH
FMII
BBCA
PANS
PGLI
APLI
MEGA
KPIG
DSFI
KBLV
TBLA
TRIM
BMSR
TIRT
SMDR
BVIC
AUTO
RICY
JSPT
RBMS
HITS
AALI
ANTM
BHIT
DKFT
MAYA
SSTM
JKSW
BKSL
LPCK
LPGI
LTLS
MITI
BCIC
AISA
IKAI
ETWA
SSIA
MIRA
ALMI
SIPD
STTP
BBNI
PICO
SMSM
KDSI
RALS
CEKA
LSIP
CTTH
LPKR
TLKM
AMFG
ELTY
BIPP
TINS
SMDM
PSKT
KONI
MRAT
BMTR
SMMA
BUDI
HEXA
CMNP
KIJA
BUKK
KARW
FASW
CMPP
KIAS
INAI
PUDP
SPMA
DVLA
DUTI
NISP
ISAT
PSDN
LMPI
MEDC
AKRA
BIMA
OMRE
SAFE
WICO
EPMT
JRPT
TSPC
INDF
ADES
SIMA
PTSP
CTRA
LPPS
SULI
MAMI
TRST
ULTJ
INRU
ALKA
TGKA
SCPI
HDTX
LMSH
TBMS
PTRO
BFIN
INCO
RDTX
DART
GJTL
SHID
BBLD
SDPC
SMRA
PNSE
MTFN
MTDL
ASII
TKIM
BLTA
ASRM
UNSP
RIGS
RMBA
LPIN
BNLI
INCF
INTD
ASDM
BDMN
INTP
ASBI
BNGA
CTBN
BNII
ASGR
BRNA
MLPL
UNIC
BAYU
GSMF
JPFA
LPLI
MYTX
LPPF
PWON
UNTR
MREI
BNBR
HERO
ABDA
JIHD
DLTA
PNIN
PNLF
PNBN
SCCO
BATA
UNVR
MLBI
MERK
GDYR
TFCO
CNTX
SMCB
